epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,11896,0.88642,1.98933,1.08152,1.18742,0,0.69615,0.63793,0.68643,0.50159,0.71775,0.63507,0.68358,0.45385,0.90374,1.97537,1.09618,1.08438,0,0.000178356,0.000178356,0.000178356
39,12213.8,0.88148,1.97991,1.08454,1.18435,0,0.70196,0.65727,0.69884,0.51389,0.69646,0.65355,0.69179,0.45739,0.89978,1.96883,1.07822,1.08106,0,0.000165149,0.000165149,0.000165149
40,12554,0.88051,1.95248,1.064,1.18257,0,0.68423,0.66086,0.68684,0.50595,0.68912,0.65862,0.68376,0.45066,0.90329,1.96748,1.09078,1.08882,0,0.000151943,0.000151943,0.000151943
41,12918.7,0.87697,1.88102,1.09054,1.20691,0,0.70901,0.64438,0.68937,0.50772,0.70424,0.64475,0.6829,0.4497,0.90748,1.98201,1.0828,1.08388,0,0.000138736,0.000138736,0.000138736
42,13247.9,0.84958,1.81454,1.02304,1.18892,0,0.69278,0.65029,0.68538,0.50073,0.71835,0.63447,0.68156,0.44702,0.90494,1.99496,1.09744,1.07667,0,0.000125529,0.000125529,0.000125529
43,13598.9,0.84921,1.80855,1.01526,1.187,0,0.69874,0.65792,0.69068,0.50862,0.69726,0.65768,0.68667,0.45227,0.90264,1.96892,1.07488,1.07739,0,0.000112323,0.000112323,0.000112323
44,13932,0.84453,1.79254,0.99734,1.18665,0,0.72188,0.65032,0.69788,0.51715,0.72736,0.65297,0.69695,0.4624,0.89036,1.94907,1.05784,1.0702,0,9.91162e-05,9.91162e-05,9.91162e-05
45,14289,0.83058,1.77183,0.98834,1.18256,0,0.71131,0.66104,0.69856,0.5136,0.71106,0.66179,0.69483,0.45726,0.89086,1.95471,1.0548,1.07277,0,8.59096e-05,8.59096e-05,8.59096e-05
46,14711.1,0.82434,1.74465,0.97431,1.17011,0,0.70551,0.66926,0.69794,0.5186,0.71322,0.66938,0.69789,0.4598,0.88728,1.95311,1.06023,1.07069,0,7.2703e-05,7.2703e-05,7.2703e-05
47,15127.2,0.81958,1.7381,0.95801,1.17093,0,0.73026,0.65134,0.69848,0.5184,0.73362,0.65324,0.69743,0.46281,0.88775,1.95021,1.04825,1.06806,0,5.94964e-05,5.94964e-05,5.94964e-05
48,15496,0.81632,1.72865,0.95789,1.16657,0,0.71101,0.66215,0.69755,0.51495,0.7271,0.6542,0.69501,0.45827,0.88775,1.94573,1.04686,1.0675,0,4.62898e-05,4.62898e-05,4.62898e-05
49,15831.5,0.81229,1.71136,0.95281,1.16066,0,0.72916,0.64603,0.69974,0.51804,0.73616,0.64629,0.69741,0.4639,0.88564,1.93817,1.04766,1.06668,0,3.30832e-05,3.30832e-05,3.30832e-05
50,16157.4,0.80409,1.70462,0.93925,1.15538,0,0.72289,0.66238,0.69882,0.51743,0.74122,0.65307,0.69802,0.4636,0.88042,1.93311,1.04274,1.06309,0,1.98766e-05,1.98766e-05,1.98766e-05
