epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,12215.1,0.92095,2.04921,1.12935,1.21358,0,0.65985,0.6471,0.66367,0.48072,0.6781,0.62401,0.6547,0.42857,0.93349,2.08405,1.13383,1.11272,0,0.000490912,0.000490912,0.000490912
42,12511.9,0.91719,2.00666,1.09589,1.20203,0,0.69876,0.60722,0.65906,0.47387,0.69887,0.61058,0.65352,0.4269,0.93116,2.03914,1.1443,1.10326,0,0.00048651,0.00048651,0.00048651
43,12807.5,0.92218,2.04261,1.11972,1.21027,0,0.68608,0.6312,0.6638,0.4841,0.69074,0.63183,0.66049,0.43683,0.92826,2.0202,1.12817,1.10413,0,0.000482108,0.000482108,0.000482108
44,13117.2,0.91335,2.01685,1.10462,1.20177,0,0.64471,0.65867,0.67239,0.48837,0.68219,0.63177,0.66999,0.44442,0.93941,2.00209,1.12306,1.11852,0,0.000477705,0.000477705,0.000477705
45,13411,0.91119,2.02792,1.10563,1.20508,0,0.68653,0.64426,0.67828,0.49024,0.67042,0.65952,0.67263,0.44597,0.92404,2.00727,1.10533,1.10314,0,0.000473303,0.000473303,0.000473303
46,13708.7,0.91367,2.02299,1.09785,1.19748,0,0.66064,0.64015,0.66692,0.48583,0.68425,0.63086,0.66336,0.44015,0.92946,2.01788,1.12225,1.10691,0,0.000468901,0.000468901,0.000468901
47,14010,0.9028,1.99424,1.08712,1.19517,0,0.6592,0.65314,0.67845,0.48812,0.66236,0.65304,0.67257,0.43934,0.92532,2.04468,1.10003,1.09792,0,0.000464499,0.000464499,0.000464499
48,14308.7,0.90288,1.98631,1.08001,1.19317,0,0.67928,0.63977,0.67211,0.48548,0.67521,0.64137,0.66389,0.43702,0.9344,2.02924,1.12631,1.10842,0,0.000460097,0.000460097,0.000460097
49,14604.1,0.90402,1.99554,1.08932,1.19405,0,0.65602,0.66165,0.68391,0.49669,0.65625,0.662,0.67597,0.45112,0.91116,2.03801,1.0995,1.08999,0,0.000455694,0.000455694,0.000455694
50,14920.4,0.90597,2.00015,1.0835,1.1985,0,0.67149,0.65251,0.68022,0.49662,0.68183,0.65358,0.67952,0.4501,0.92816,2.01438,1.11164,1.10499,0,0.000451292,0.000451292,0.000451292
51,15218.3,0.89599,1.9801,1.07355,1.18804,0,0.68771,0.66074,0.68476,0.49585,0.68837,0.66158,0.67887,0.44849,0.92495,1.99233,1.08734,1.09864,0,0.00044689,0.00044689,0.00044689
52,15518.1,0.90115,1.97367,1.0709,1.19333,0,0.66717,0.66018,0.67662,0.49133,0.68013,0.65773,0.67416,0.44659,0.92041,1.98145,1.10794,1.10228,0,0.000442488,0.000442488,0.000442488
53,15814.1,0.89475,1.97181,1.05711,1.18799,0,0.69601,0.64781,0.67746,0.49277,0.69279,0.64146,0.66323,0.44257,0.9135,1.97451,1.09631,1.08833,0,0.000438086,0.000438086,0.000438086
54,16110.2,0.89417,1.975,1.05991,1.18226,0,0.69418,0.6208,0.67558,0.49055,0.68038,0.63499,0.67102,0.4405,0.92299,2.0259,1.11829,1.09724,0,0.000433683,0.000433683,0.000433683
55,16403.5,0.89434,1.96395,1.06532,1.18579,0,0.70753,0.64883,0.6852,0.50101,0.70996,0.65043,0.68149,0.45258,0.90712,1.99966,1.07836,1.0863,0,0.000429281,0.000429281,0.000429281
56,16708.7,0.8874,1.94121,1.05321,1.18585,0,0.70206,0.64812,0.69023,0.50294,0.70632,0.64885,0.68583,0.45118,0.91429,1.97457,1.07951,1.09574,0,0.000424879,0.000424879,0.000424879
57,16903.4,0.88133,1.94194,1.04773,1.17932,0,0.65983,0.67683,0.68556,0.49846,0.68131,0.66537,0.68249,0.45344,0.916,1.96711,1.08486,1.0891,0,0.000420477,0.000420477,0.000420477
58,17012.7,0.88665,1.94353,1.04424,1.18197,0,0.6879,0.67031,0.6879,0.5055,0.6933,0.66885,0.68717,0.45278,0.9135,1.96186,1.07536,1.09234,0,0.000416075,0.000416075,0.000416075
59,17125.4,0.88518,1.94126,1.04509,1.17955,0,0.70433,0.65334,0.69209,0.50532,0.71954,0.64232,0.68788,0.45269,0.90252,1.9715,1.06745,1.08721,0,0.000411672,0.000411672,0.000411672
60,17237.6,0.87656,1.9214,1.03779,1.17294,0,0.69761,0.66097,0.70083,0.51701,0.71102,0.65861,0.69414,0.46565,0.89493,1.9602,1.04506,1.07825,0,0.00040727,0.00040727,0.00040727
61,17350,0.88393,1.93704,1.03268,1.17949,0,0.69145,0.66674,0.69771,0.51255,0.70085,0.6663,0.69426,0.45872,0.9005,1.95961,1.06256,1.08109,0,0.000402868,0.000402868,0.000402868
62,17463.4,0.88157,1.92556,1.02963,1.17906,0,0.68351,0.6765,0.69446,0.51082,0.69324,0.66114,0.68725,0.45539,0.89515,1.93665,1.0556,1.07467,0,0.000398466,0.000398466,0.000398466
63,17575.5,0.88176,1.9102,1.02711,1.17816,0,0.69993,0.65537,0.69153,0.50916,0.70256,0.66224,0.68851,0.46193,0.89476,1.92507,1.05064,1.07807,0,0.000394064,0.000394064,0.000394064
64,17687.7,0.87531,1.91817,1.0285,1.17334,0,0.70041,0.65022,0.68357,0.5019,0.70017,0.65513,0.68104,0.45514,0.8963,1.96098,1.06644,1.07828,0,0.000389661,0.000389661,0.000389661
65,17800.7,0.87348,1.91727,1.02343,1.17776,0,0.71247,0.64525,0.6937,0.50995,0.71964,0.64906,0.69082,0.46137,0.88628,1.97353,1.04955,1.07389,0,0.000385259,0.000385259,0.000385259
66,17912.7,0.8722,1.90584,1.01898,1.17376,0,0.67986,0.66668,0.68714,0.50703,0.69471,0.66116,0.68507,0.45906,0.8994,1.97698,1.05641,1.08024,0,0.000380857,0.000380857,0.000380857
67,18025,0.86954,1.89214,1.01067,1.17178,0,0.69416,0.65433,0.69237,0.51039,0.72628,0.63772,0.69021,0.45623,0.89831,1.96749,1.05215,1.07829,0,0.000376455,0.000376455,0.000376455
68,18136.8,0.86324,1.89037,1.00759,1.1656,0,0.69878,0.65763,0.69057,0.50846,0.69711,0.66506,0.68824,0.45664,0.89033,1.98531,1.06485,1.07287,0,0.000372053,0.000372053,0.000372053
69,18249.1,0.86003,1.88296,0.99945,1.16063,0,0.70577,0.65934,0.6937,0.51344,0.71017,0.65843,0.69087,0.4603,0.89556,1.97372,1.05501,1.08146,0,0.00036765,0.00036765,0.00036765
70,18362,0.86382,1.87911,0.9981,1.1637,0,0.69776,0.66134,0.69626,0.51298,0.72425,0.65949,0.69695,0.45919,0.8917,1.94181,1.04892,1.07783,0,0.000363248,0.000363248,0.000363248
71,18475,0.86926,1.89528,1.00709,1.17048,0,0.70567,0.66137,0.69851,0.51488,0.71763,0.66588,0.70041,0.46755,0.89292,1.93762,1.03728,1.07992,0,0.000358846,0.000358846,0.000358846
72,18588.2,0.86051,1.87189,0.99673,1.16519,0,0.6674,0.67509,0.6951,0.51402,0.73752,0.63274,0.69453,0.46284,0.89346,1.98096,1.04288,1.07668,0,0.000354444,0.000354444,0.000354444
73,18701.1,0.85925,1.88136,1.00132,1.16927,0,0.6619,0.69224,0.70061,0.52009,0.67199,0.69519,0.7002,0.46353,0.8937,1.94027,1.0336,1.07452,0,0.000350042,0.000350042,0.000350042
74,18813.3,0.85141,1.8639,0.98453,1.16135,0,0.69831,0.66406,0.70272,0.51715,0.70447,0.66738,0.70246,0.46544,0.8923,1.94016,1.02728,1.07259,0,0.000345639,0.000345639,0.000345639
75,18926.2,0.85801,1.85704,0.98692,1.16386,0,0.72039,0.65402,0.70163,0.51898,0.72491,0.65846,0.70181,0.46319,0.88339,1.95796,1.03116,1.0673,0,0.000341237,0.000341237,0.000341237
76,19038.9,0.85754,1.8685,0.9903,1.16331,0,0.71658,0.65211,0.70253,0.51952,0.722,0.65763,0.70356,0.46583,0.87883,1.93055,1.01335,1.06449,0,0.000336835,0.000336835,0.000336835
77,19152.5,0.85126,1.83984,0.97527,1.15654,0,0.72012,0.64661,0.7004,0.51763,0.72482,0.65281,0.70145,0.46587,0.88402,1.95513,1.01869,1.06819,0,0.000332433,0.000332433,0.000332433
78,19265.3,0.85099,1.86445,0.97389,1.15835,0,0.7113,0.66287,0.70249,0.51766,0.71129,0.66674,0.70042,0.46759,0.88486,1.93298,1.01885,1.07181,0,0.000328031,0.000328031,0.000328031
79,19378.2,0.85137,1.84053,0.97279,1.15682,0,0.69276,0.67674,0.701,0.51956,0.70341,0.68324,0.6997,0.46906,0.88725,1.9147,1.02206,1.07145,0,0.000323628,0.000323628,0.000323628
80,19490.5,0.85401,1.83634,0.97035,1.15952,0,0.71391,0.66677,0.70495,0.51909,0.71816,0.67695,0.70479,0.46994,0.8947,1.91716,1.01134,1.07945,0,0.000319226,0.000319226,0.000319226
81,19603.6,0.85142,1.85121,0.9729,1.15844,0,0.69368,0.66774,0.7014,0.51956,0.70512,0.67045,0.69923,0.46758,0.88227,1.93561,1.02373,1.0661,0,0.000314824,0.000314824,0.000314824
82,19715.8,0.84532,1.8329,0.96303,1.15328,0,0.73375,0.6726,0.71236,0.52694,0.74368,0.66643,0.7087,0.47484,0.87852,1.94818,1.01653,1.06587,0,0.000310422,0.000310422,0.000310422
83,19828,0.84543,1.83589,0.96346,1.15336,0,0.73616,0.65626,0.70897,0.52354,0.74002,0.65584,0.70503,0.47077,0.88148,1.92599,1.01314,1.06602,0,0.00030602,0.00030602,0.00030602
84,19940.1,0.84964,1.84468,0.97259,1.15922,0,0.7258,0.64121,0.70303,0.52137,0.70826,0.66343,0.70046,0.46812,0.87984,1.92324,1.0093,1.0684,0,0.000301617,0.000301617,0.000301617
85,20052.7,0.84739,1.82578,0.95739,1.15195,0,0.72776,0.67079,0.71244,0.52542,0.74411,0.66718,0.70396,0.47382,0.88143,1.91331,1.01686,1.06406,0,0.000297215,0.000297215,0.000297215
86,20169.6,0.8466,1.81129,0.95962,1.15541,0,0.70566,0.67668,0.70779,0.52676,0.71429,0.67345,0.70518,0.47408,0.8781,1.94333,1.01031,1.06371,0,0.000292813,0.000292813,0.000292813
87,20283,0.83993,1.81514,0.94876,1.14764,0,0.72419,0.65984,0.70971,0.53014,0.71266,0.66483,0.70557,0.47742,0.88065,1.94258,1.00739,1.06456,0,0.000288411,0.000288411,0.000288411
88,20396.7,0.84004,1.8133,0.94711,1.14958,0,0.70908,0.67255,0.70645,0.52991,0.70854,0.67554,0.70034,0.47277,0.87006,1.9386,1.00023,1.0549,0,0.000284009,0.000284009,0.000284009
89,20509.1,0.83622,1.82241,0.95155,1.14791,0,0.7059,0.67877,0.70769,0.53279,0.70884,0.68081,0.70429,0.47303,0.86579,1.9284,1.00836,1.04988,0,0.000279606,0.000279606,0.000279606
90,20621.9,0.84047,1.81133,0.94683,1.15072,0,0.73209,0.6539,0.71176,0.53258,0.72747,0.65328,0.70505,0.47791,0.86829,1.93236,1.00737,1.0593,0,0.000275204,0.000275204,0.000275204
91,20909,0.83513,1.81098,0.94281,1.14647,0,0.71524,0.66705,0.71398,0.53593,0.7201,0.66525,0.71086,0.48177,0.86761,1.91923,1.00409,1.05404,0,0.000270802,0.000270802,0.000270802
92,21224.9,0.83066,1.79561,0.94293,1.14443,0,0.71771,0.6776,0.71508,0.53393,0.7246,0.66998,0.711,0.4792,0.87152,1.93774,1.0114,1.05809,0,0.0002664,0.0002664,0.0002664
93,21527,0.83293,1.79262,0.93587,1.1421,0,0.7365,0.66694,0.71644,0.53689,0.7382,0.67303,0.71542,0.48455,0.86811,1.93658,0.99938,1.05552,0,0.000261998,0.000261998,0.000261998
94,21825.3,0.82591,1.78943,0.93471,1.14182,0,0.70523,0.67438,0.71318,0.53808,0.70772,0.68227,0.70869,0.47843,0.86078,1.92923,1.00321,1.0468,0,0.000257595,0.000257595,0.000257595
95,22122.9,0.82924,1.78943,0.93014,1.14135,0,0.73349,0.67364,0.71856,0.53568,0.73568,0.67355,0.71578,0.4778,0.86217,1.90134,1.00153,1.05263,0,0.000253193,0.000253193,0.000253193
96,22419.1,0.83101,1.79019,0.93177,1.14423,0,0.73986,0.67217,0.72186,0.53996,0.74912,0.67345,0.71916,0.48109,0.86927,1.92184,0.99619,1.05959,0,0.000248791,0.000248791,0.000248791
97,22718.3,0.82311,1.78272,0.92474,1.14096,0,0.7309,0.66522,0.71448,0.53642,0.73798,0.67069,0.71588,0.47968,0.86489,1.93781,0.99858,1.05829,0,0.000244389,0.000244389,0.000244389
98,23010.6,0.82886,1.78867,0.93163,1.14252,0,0.73398,0.66456,0.71938,0.53951,0.74045,0.67003,0.72133,0.4827,0.86552,1.90426,0.98943,1.05547,0,0.000239987,0.000239987,0.000239987
99,23303.3,0.82324,1.75328,0.91842,1.13943,0,0.73552,0.65799,0.71545,0.54052,0.74285,0.66072,0.71767,0.48142,0.86761,1.91001,0.99041,1.05669,0,0.000235584,0.000235584,0.000235584
100,23606.5,0.82635,1.78428,0.92609,1.14351,0,0.72053,0.68007,0.71782,0.53911,0.72702,0.68278,0.72004,0.48177,0.86803,1.91387,1.00139,1.05172,0,0.000231182,0.000231182,0.000231182
101,23902.6,0.82465,1.76692,0.91811,1.13876,0,0.73543,0.66028,0.71776,0.53991,0.74497,0.6657,0.72115,0.48209,0.87141,1.9143,0.99158,1.0573,0,0.00022678,0.00022678,0.00022678
102,24195.8,0.8229,1.77015,0.9205,1.14017,0,0.74056,0.67178,0.71383,0.53655,0.75476,0.67572,0.71555,0.47749,0.86594,1.91077,0.99277,1.05637,0,0.000222378,0.000222378,0.000222378
