epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,11356.2,0.92301,2.06069,1.13033,1.21085,0,0.64498,0.61941,0.64951,0.46567,0.655,0.61052,0.64326,0.41131,0.94822,2.07819,1.18168,1.11965,0,0.000471542,0.000471542,0.000471542
39,11653.8,0.91937,2.05792,1.13582,1.2068,0,0.69804,0.63942,0.6786,0.49275,0.70643,0.63962,0.67504,0.43783,0.93462,2.02994,1.13653,1.1111,0,0.00046626,0.00046626,0.00046626
40,11957.6,0.91932,2.03225,1.11673,1.20576,0,0.62892,0.65575,0.65724,0.47614,0.63124,0.65049,0.64892,0.42128,0.94035,2.03599,1.14969,1.12198,0,0.000460977,0.000460977,0.000460977
41,12251.1,0.91586,2.04229,1.12463,1.20971,0,0.69083,0.63405,0.67359,0.49202,0.69893,0.62811,0.66752,0.43779,0.91889,2.03471,1.10509,1.10087,0,0.000455694,0.000455694,0.000455694
42,12546.6,0.91165,2.00621,1.09239,1.19866,0,0.65827,0.63857,0.6704,0.4853,0.66188,0.64114,0.66428,0.43553,0.93568,2.018,1.11722,1.11247,0,0.000450412,0.000450412,0.000450412
43,12845.8,0.91736,2.04068,1.11475,1.20806,0,0.66803,0.65449,0.67632,0.49699,0.66856,0.65353,0.6712,0.44773,0.91814,2.01492,1.10442,1.10023,0,0.000445129,0.000445129,0.000445129
44,13141,0.90989,2.01407,1.09775,1.19811,0,0.68104,0.63206,0.67433,0.49179,0.67933,0.6347,0.67155,0.44636,0.9335,1.99374,1.10588,1.11098,0,0.000439846,0.000439846,0.000439846
45,13437.7,0.90935,2.01411,1.10019,1.20363,0,0.67383,0.65071,0.67584,0.4945,0.67599,0.64749,0.66841,0.44296,0.9235,2.0116,1.10489,1.1035,0,0.000434564,0.000434564,0.000434564
46,13734.1,0.90814,2.00989,1.09115,1.19417,0,0.67201,0.64095,0.67599,0.49687,0.67467,0.64495,0.67078,0.45099,0.91743,2.00319,1.11566,1.09678,0,0.000429281,0.000429281,0.000429281
47,14031.4,0.89891,1.99104,1.08123,1.19171,0,0.66673,0.66242,0.68497,0.49705,0.66797,0.65942,0.68063,0.44599,0.92833,2.01923,1.107,1.10362,0,0.000423999,0.000423999,0.000423999
48,14326.2,0.90026,1.97803,1.07505,1.19208,0,0.68888,0.6471,0.67198,0.48994,0.68381,0.64996,0.66741,0.44269,0.92128,2.01322,1.11738,1.09945,0,0.000418716,0.000418716,0.000418716
49,14620.3,0.90303,1.98933,1.08562,1.19286,0,0.70162,0.62084,0.68122,0.49715,0.65255,0.66006,0.67684,0.4472,0.91485,2.02323,1.09915,1.09284,0,0.000413433,0.000413433,0.000413433
50,14916.6,0.89976,1.98944,1.07906,1.19345,0,0.68805,0.64426,0.68629,0.5004,0.69081,0.64278,0.68081,0.44894,0.92849,1.99228,1.10233,1.10322,0,0.000408151,0.000408151,0.000408151
51,15216.5,0.89142,1.97385,1.07135,1.18509,0,0.66849,0.66277,0.68659,0.50132,0.68249,0.65594,0.68218,0.45286,0.91702,2.00279,1.08028,1.10084,0,0.000402868,0.000402868,0.000402868
52,15517.6,0.89629,1.96988,1.0675,1.19075,0,0.67191,0.65712,0.68508,0.50122,0.68253,0.65327,0.68496,0.45309,0.92239,2.00743,1.10011,1.09795,0,0.000397585,0.000397585,0.000397585
