epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,8200.93,0.88632,1.91517,1.02445,1.17811,0,0.7054,0.66362,0.70071,0.51413,0.70194,0.65921,0.68955,0.46105,0.90106,1.93524,1.04523,1.08644,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8317.09,0.8877,1.92634,1.03421,1.18276,0,0.69892,0.66523,0.70026,0.51295,0.69645,0.67284,0.69517,0.46841,0.89694,1.94924,1.04327,1.08662,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,8432.83,0.88069,1.90332,1.02172,1.17876,0,0.67322,0.68314,0.69952,0.51619,0.69828,0.67493,0.69559,0.47044,0.90014,1.96569,1.04268,1.08276,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,8548.57,0.88174,1.90251,1.02819,1.18425,0,0.67916,0.67921,0.69641,0.51781,0.68563,0.68166,0.69642,0.46959,0.88846,1.9273,1.02744,1.07846,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,8663.8,0.87404,1.88848,1.01566,1.17827,0,0.6933,0.68094,0.70386,0.52058,0.69174,0.67778,0.69789,0.46873,0.8981,1.93905,1.03315,1.08838,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8779.31,0.87637,1.89001,1.01367,1.17656,0,0.6754,0.69969,0.71053,0.5298,0.73457,0.64109,0.70748,0.47638,0.88213,1.95461,1.02468,1.07715,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,8895.4,0.87957,1.90166,1.0199,1.17805,0,0.7192,0.65458,0.70021,0.5225,0.72667,0.64741,0.69484,0.46898,0.89595,1.96376,1.0382,1.08056,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,9011.71,0.87087,1.8734,0.99825,1.16987,0,0.74546,0.65108,0.70676,0.5229,0.74595,0.65637,0.70633,0.47276,0.90147,1.95368,1.03189,1.08621,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,9127.65,0.86908,1.89126,1.00453,1.17248,0,0.6973,0.68244,0.70879,0.52494,0.7127,0.6805,0.70873,0.4808,0.89089,1.97092,1.02906,1.07997,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,9243.52,0.87286,1.87554,1.00334,1.17087,0,0.68522,0.67914,0.69823,0.52218,0.68853,0.68056,0.69454,0.47217,0.89397,1.94453,1.02574,1.08548,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
